line;field;message
2;kunden_id;not an integer
2;punkte;must be 1-5
3;kunden_id;not an integer
4;kunden_id;not an integer
5;kunden_id;not an integer
6;kunden_id;not an integer
7;kunden_id;not an integer
8;kunden_id;not an integer
9;kunden_id;not an integer
9;punkte;must be 1-5
10;kunden_id;not an integer
11;kunden_id;not an integer
12;kunden_id;not an integer
13;kunden_id;not an integer
13;punkte;must be 1-5
14;kunden_id;not an integer
14;punkte;must be 1-5
15;kunden_id;not an integer
15;punkte;must be 1-5
16;kunden_id;not an integer
17;kunden_id;not an integer
18;kunden_id;not an integer
18;punkte;must be 1-5
19;kunden_id;not an integer
19;punkte;must be 1-5
20;kunden_id;not an integer
21;kunden_id;not an integer
22;kunden_id;not an integer
22;punkte;must be 1-5
23;kunden_id;not an integer
24;kunden_id;not an integer
24;punkte;must be 1-5
25;kunden_id;not an integer
26;kunden_id;not an integer
27;kunden_id;not an integer
27;punkte;must be 1-5
28;kunden_id;not an integer
29;kunden_id;not an integer
30;kunden_id;not an integer
31;kunden_id;not an integer
31;punkte;must be 1-5
32;kunden_id;not an integer
33;kunden_id;not an integer
34;kunden_id;not an integer
35;kunden_id;not an integer
35;punkte;must be 1-5
36;kunden_id;not an integer
37;kunden_id;not an integer
37;punkte;must be 1-5
38;kunden_id;not an integer
38;punkte;must be 1-5
39;kunden_id;not an integer
39;punkte;must be 1-5
40;kunden_id;not an integer
41;kunden_id;not an integer
41;punkte;must be 1-5
42;kunden_id;not an integer
42;punkte;must be 1-5
43;kunden_id;not an integer
44;kunden_id;not an integer
45;kunden_id;not an integer
46;kunden_id;not an integer
46;punkte;must be 1-5
47;kunden_id;not an integer
47;punkte;must be 1-5
48;kunden_id;not an integer
48;punkte;must be 1-5
49;kunden_id;not an integer
50;kunden_id;not an integer
50;punkte;must be 1-5
51;kunden_id;not an integer
52;kunden_id;not an integer
53;kunden_id;not an integer
53;punkte;must be 1-5
54;kunden_id;not an integer
54;punkte;must be 1-5
55;kunden_id;not an integer
55;punkte;must be 1-5
56;kunden_id;not an integer
57;kunden_id;not an integer
58;kunden_id;not an integer
58;punkte;must be 1-5
59;kunden_id;not an integer
60;kunden_id;not an integer
60;punkte;must be 1-5
61;kunden_id;not an integer
62;kunden_id;not an integer
62;punkte;must be 1-5
63;kunden_id;not an integer
63;punkte;must be 1-5
64;kunden_id;not an integer
65;kunden_id;not an integer
65;punkte;must be 1-5
66;kunden_id;not an integer
67;kunden_id;not an integer
67;punkte;must be 1-5
68;kunden_id;not an integer
69;kunden_id;not an integer
69;punkte;must be 1-5
70;kunden_id;not an integer
71;kunden_id;not an integer
72;kunden_id;not an integer
73;kunden_id;not an integer
74;kunden_id;not an integer
75;kunden_id;not an integer
75;punkte;must be 1-5
76;kunden_id;not an integer
77;kunden_id;not an integer
78;kunden_id;not an integer
79;kunden_id;not an integer
79;punkte;must be 1-5
80;kunden_id;not an integer
81;kunden_id;not an integer
82;kunden_id;not an integer
83;kunden_id;not an integer
83;punkte;must be 1-5
84;kunden_id;not an integer
85;kunden_id;not an integer
85;punkte;must be 1-5
86;kunden_id;not an integer
87;kunden_id;not an integer
88;kunden_id;not an integer
89;kunden_id;not an integer
90;kunden_id;not an integer
91;kunden_id;not an integer
92;kunden_id;not an integer
92;punkte;must be 1-5
93;kunden_id;not an integer
93;punkte;must be 1-5
94;kunden_id;not an integer
94;punkte;must be 1-5
95;kunden_id;not an integer
96;kunden_id;not an integer
97;kunden_id;not an integer
